Metric,Value
Portfolio VaR (95%),-3.08%
Expected Shortfall,-4.62%
Maximum Drawdown,-18.77%
Volatility,24.72%
Downside Deviation,17.31%
Beta vs Market,0.85
Tracking Error,3.2%
