ticker,weight
AAPL,0.0
AMZN,0.0
BAC,0.0
CVX,0.1835
GOOGL,0.0
GS,0.0
JNJ,0.0
JPM,0.0
MSFT,0.0
NVDA,0.4731
PFE,0.3434
XOM,0.0
